類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),735
ウエイト(Weight),2686407772
ウエイト１万分比(Weight per 10000),8420
1946  ,
1947  ,
1948  ,68.8
1949  ,16.5
1950  ,-4.0
1951  ,19.7
1952  ,3.6
1953  ,8.1
1954  ,4.0
1955  ,-1.3
1956  ,1.3
1957  ,2.5
1958  ,-0.4
1959  ,1.8
1960  ,3.8
1961  ,6.2
1962  ,6.7
1963  ,6.6
1964  ,4.6
1965  ,6.4
1966  ,4.7
1967  ,4.2
1968  ,4.9
1969  ,6.4
1970  ,7.3
1971  ,5.7
1972  ,5.2
1973  ,16.1
1974  ,21.8
1975  ,10.4
1976  ,9.4
1977  ,6.7
1978  ,3.4
1979  ,4.8
1980  ,7.8
1981  ,4.0
1982  ,2.4
1983  ,1.9
1984  ,2.2
1985  ,1.9
1986  ,-0.3
1987  ,0.3
1988  ,0.6
1989  ,2.9
1990  ,3.3
1991  ,2.9
1992  ,1.4
1993  ,1.1
1994  ,0.2
1995  ,-0.4
1996  ,0.1
1997  ,2.2
1998  ,0.1
1999  ,-0.6
2000  ,-0.7
2001  ,-1.3
2002  ,-0.7
2003  ,-0.2
2004  ,0.0
2005  ,-0.3
2006  ,0.3
2007  ,0.4
2008  ,1.3
2009  ,-1.9
2010  ,-0.4
2011  ,0.0
2012  ,-0.3
2013  ,1.1
2014  ,3.5
2015  ,0.3
2016  ,0.0
2017  ,0.9
2018  ,0.9
2019  ,0.6
2020  ,-0.3
